doc_id,model,criterion,score_trial_1,score_trial_2,score_trial_3,score_trial_4,score_trial_5,mean_score,std_dev_score,has_outlier,overall_average_score
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Citation Format Consistency,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Citation Format Consistency,3.0,2.0,4.0,3.0,3.0,3.0,0.7071067811865476,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Completeness / Coverage,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Completeness / Coverage,5.0,5.0,5.0,4.0,5.0,4.8,0.4472135954999579,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Factual Accuracy,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Factual Accuracy,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Hierarchy & Heading Consistency,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Hierarchy & Heading Consistency,5.0,5.0,5.0,4.0,5.0,4.8,0.4472135954999579,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Logical Organization,4.0,4.0,4.0,4.0,5.0,4.2,0.44721359549995787,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Logical Organization,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Redundancy,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Redundancy,5.0,5.0,5.0,5.0,4.0,4.8,0.44721359549995787,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Section Balance,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Section Balance,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Sentence Clarity,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Sentence Clarity,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Table-of-Contents Alignment,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Table-of-Contents Alignment,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,4.533333333333333
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,gemini-2.5-flash-preview-05-20,Citation Format Consistency,4.0,5.0,5.0,5.0,5.0,4.8,0.44721359549995787,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,o4-mini-2025-04-16,Citation Format Consistency,3.0,3.0,4.0,4.0,2.0,3.2,0.8366600265340756,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,gemini-2.5-flash-preview-05-20,Completeness / Coverage,5.0,4.0,4.0,4.0,4.0,4.2,0.44721359549995787,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,o4-mini-2025-04-16,Completeness / Coverage,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,gemini-2.5-flash-preview-05-20,Factual Accuracy,4.0,3.0,3.0,3.0,3.0,3.2,0.447213595499958,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,o4-mini-2025-04-16,Factual Accuracy,5.0,4.0,5.0,5.0,5.0,4.8,0.44721359549995787,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,gemini-2.5-flash-preview-05-20,Hierarchy & Heading Consistency,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,o4-mini-2025-04-16,Hierarchy & Heading Consistency,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,gemini-2.5-flash-preview-05-20,Logical Organization,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,o4-mini-2025-04-16,Logical Organization,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,gemini-2.5-flash-preview-05-20,Redundancy,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,o4-mini-2025-04-16,Redundancy,4.0,5.0,4.0,5.0,5.0,4.6,0.5477225575051662,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,gemini-2.5-flash-preview-05-20,Section Balance,5.0,4.0,4.0,4.0,4.0,4.2,0.44721359549995787,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,o4-mini-2025-04-16,Section Balance,4.0,4.0,3.0,4.0,4.0,3.8,0.4472135954999579,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,gemini-2.5-flash-preview-05-20,Sentence Clarity,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,o4-mini-2025-04-16,Sentence Clarity,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,gemini-2.5-flash-preview-05-20,Table-of-Contents Alignment,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.4222222222222225
research_report_19953517-3406-4003-9e3a-4f2f5ca990af,o4-mini-2025-04-16,Table-of-Contents Alignment,3.0,3.0,2.0,3.0,3.0,2.8,0.4472135954999579,False,4.4222222222222225
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,gemini-2.5-flash-preview-05-20,Citation Format Consistency,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,o4-mini-2025-04-16,Citation Format Consistency,4.0,4.0,4.0,3.0,4.0,3.8,0.4472135954999579,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,gemini-2.5-flash-preview-05-20,Completeness / Coverage,4.0,4.0,5.0,4.0,4.0,4.2,0.44721359549995804,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,o4-mini-2025-04-16,Completeness / Coverage,5.0,4.0,5.0,4.0,5.0,4.6,0.5477225575051662,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,gemini-2.5-flash-preview-05-20,Factual Accuracy,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,o4-mini-2025-04-16,Factual Accuracy,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,gemini-2.5-flash-preview-05-20,Hierarchy & Heading Consistency,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,o4-mini-2025-04-16,Hierarchy & Heading Consistency,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,gemini-2.5-flash-preview-05-20,Logical Organization,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,o4-mini-2025-04-16,Logical Organization,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,gemini-2.5-flash-preview-05-20,Redundancy,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,o4-mini-2025-04-16,Redundancy,5.0,5.0,5.0,4.0,5.0,4.8,0.4472135954999579,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,gemini-2.5-flash-preview-05-20,Section Balance,4.0,4.0,5.0,4.0,4.0,4.2,0.44721359549995804,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,o4-mini-2025-04-16,Section Balance,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,gemini-2.5-flash-preview-05-20,Sentence Clarity,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,o4-mini-2025-04-16,Sentence Clarity,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,gemini-2.5-flash-preview-05-20,Table-of-Contents Alignment,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.711111111111111
research_report_ca59c5b2-b9b6-486f-9ef1-5cb6b505be5b,o4-mini-2025-04-16,Table-of-Contents Alignment,4.0,4.0,4.0,4.0,5.0,4.2,0.44721359549995787,False,4.711111111111111
